"call_number","unit_id","incident_number","call_type","call_date","watch_date","received_dttm","entry_dttm","dispatch_dttm","response_dttm","on_scene_dttm","transport_dttm","hospital_dttm","call_final_disposition","available_dttm","address","city","zipcode_of_incident","battalion","station_area","box","original_priority","priority","final_priority","als_unit","call_type_group","number_of_alarms","unit_type","unit_sequence_in_call_dispatch","fire_prevention_district","supervisor_district","neighborhoods_analysis_boundaries","rowid","case_location","data_as_of","data_loaded_at",":@computed_region_ajp5_b2md"
"063640361","B10","06102998","Medical Incident","2006-12-30T00:00:00.000","2006-12-30T00:00:00.000","2006-12-30T22:42:03.000","2006-12-30T22:43:20.000","2006-12-30T22:43:35.000","2006-12-30T22:45:08.000","2006-12-30T22:48:37.000",,,"Other","2006-12-30T22:54:03.000","20TH ST/BRYANT ST","SF","94110","B06","07","5451","E","E","3","false",,"1","CHIEF","2","6","9","Mission","063640361-B10","POINT (-122.40977 37.759193)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"063650058","T08","06103060","Other","2006-12-31T00:00:00.000","2006-12-30T00:00:00.000","2006-12-31T04:07:19.000","2006-12-31T04:09:28.000","2006-12-31T04:09:51.000","2006-12-31T04:11:44.000","2006-12-31T04:15:31.000",,,"Fire","2006-12-31T04:23:59.000","08TH ST/HOWARD ST","SF","94103","B03","01","2314","3","3","3","true",,"1","TRUCK","1","2","6","South of Market","063650058-T08","POINT (-122.411606 37.776222)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"063650209","T07","06103174","Alarms","2006-12-31T00:00:00.000","2006-12-31T00:00:00.000","2006-12-31T15:41:06.000","2006-12-31T15:41:35.000","2006-12-31T15:41:42.000","2006-12-31T15:43:15.000",,,,"Other","2006-12-31T15:51:43.000","18TH ST/MISSION ST","SF","94110","B02","07","5423","3","3","3","false",,"1","TRUCK","3","6","9","Mission","063650209-T07","POINT (-122.41936 37.761837)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070030209","E16","07000859","Medical Incident","2007-01-03T00:00:00.000","2007-01-03T00:00:00.000","2007-01-03T13:36:37.000","2007-01-03T13:38:01.000","2007-01-03T13:38:22.000","2007-01-03T13:39:07.000","2007-01-03T13:40:58.000",,,"Other","2007-01-03T13:50:51.000","UNION ST/BAKER ST","SF","94123","B04","16","4312","3","3","3","false",,"1","ENGINE","1","4","2","Marina","070030209-E16","POINT (-122.44541 37.795826)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"070030302","75","07000922","Medical Incident","2007-01-03T00:00:00.000","2007-01-03T00:00:00.000","2007-01-03T17:36:27.000","2007-01-03T17:38:24.000","2007-01-03T17:38:32.000",,,,,"Other","2007-01-03T17:40:51.000","MARKET ST/11TH ST","SF","94103","B02","36","3111","3","3","3","true",,"1","MEDIC","3","2","6","South of Market","070030302-75","POINT (-122.418655 37.77556)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"070050277","M13","07001478","Medical Incident","2007-01-05T00:00:00.000","2007-01-05T00:00:00.000","2007-01-05T16:51:36.000","2007-01-05T16:52:42.000","2007-01-05T16:52:56.000","2007-01-05T16:53:07.000",,,,"Other","2007-01-05T16:53:54.000","EDDY ST/JONES ST","SF","94102","B03","01","1456","3","3","3","true",,"1","MEDIC","4","2","6","Tenderloin","070050277-M13","POINT (-122.4126 37.78393)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070050299","T16","07001494","Alarms","2007-01-05T00:00:00.000","2007-01-05T00:00:00.000","2007-01-05T17:44:39.000","2007-01-05T17:45:35.000","2007-01-05T17:45:44.000","2007-01-05T17:47:43.000",,,,"Other","2007-01-05T18:04:27.000","CERVANTES BLVD/PRADO ST","SF","94123","B04","16","3664","3","3","3","false",,"1","TRUCK","3","4","2","Marina","070050299-T16","POINT (-122.440506 37.804756)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","13"
"070060256","76","07001785","Medical Incident","2007-01-06T00:00:00.000","2007-01-06T00:00:00.000","2007-01-06T15:35:43.000","2007-01-06T15:40:00.000","2007-01-06T15:41:27.000","2007-01-06T15:41:51.000",,,,"Other",,"MASON ST/BEACH ST","SF","94133","B01","28","0943","2","2","2","true",,"1","MEDIC","2","1","3","North Beach","070060256-76","POINT (-122.41398 37.807484)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"070070209","B01","07002084","Alarms","2007-01-07T00:00:00.000","2007-01-07T00:00:00.000","2007-01-07T13:23:10.000","2007-01-07T13:27:59.000","2007-01-07T13:28:05.000","2007-01-07T13:29:13.000","2007-01-07T13:31:11.000",,,"Other","2007-01-07T13:36:42.000","STOCKTON ST/CLAY ST","SF","94108","B01","02","1326","3","3","3","false",,"1","CHIEF","1","1","3","Chinatown","070070209-B01","POINT (-122.407906 37.79406)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"070080311","87","07002441","Medical Incident","2007-01-08T00:00:00.000","2007-01-08T00:00:00.000","2007-01-08T17:10:21.000","2007-01-08T17:12:55.000","2007-01-08T17:13:18.000",,,,,"Other","2007-01-08T17:14:13.000","EDDY ST/LEAVENWORTH ST","SF","94102","B02","03","1545","3","3","3","true",,"1","MEDIC","3","2","6","Tenderloin","070080311-87","POINT (-122.41424 37.783722)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070090016","71","07002542","Medical Incident","2007-01-09T00:00:00.000","2007-01-08T00:00:00.000","2007-01-09T01:12:43.000","2007-01-09T01:14:46.000","2007-01-09T01:15:27.000",,,,,"Other","2007-01-09T01:20:07.000","18TH ST/CASTRO ST","SF","94114","B05","06","5415","3","3","3","true",,"1","MEDIC","3","5","8","Castro/Upper Market","070090016-71","POINT (-122.435 37.760887)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","5"
"070130299","87","07003934","Medical Incident","2007-01-13T00:00:00.000","2007-01-13T00:00:00.000","2007-01-13T17:07:08.000","2007-01-13T17:08:37.000","2007-01-13T17:08:55.000",,,,,"Other","2007-01-13T17:14:10.000","RUSS ST/HOWARD ST","SF","94103","B03","01","2314","3","3","3","true",,"1","MEDIC","3","3","6","South of Market","070130299-87","POINT (-122.40827 37.778862)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"070140079","E03","07004085","Medical Incident","2007-01-14T00:00:00.000","2007-01-13T00:00:00.000","2007-01-14T05:10:06.000","2007-01-14T05:12:00.000","2007-01-14T05:13:04.000","2007-01-14T05:15:24.000",,,,"Other","2007-01-14T05:19:03.000","OFARRELL ST/LARKIN ST","SF","94109","B04","03","1642","3","3","3","true",,"1","ENGINE","2","2","6","Tenderloin","070140079-E03","POINT (-122.4179 37.785168)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070160278","B04","07004786","Alarms","2007-01-16T00:00:00.000","2007-01-16T00:00:00.000","2007-01-16T16:32:28.000","2007-01-16T16:33:20.000","2007-01-16T16:33:33.000","2007-01-16T16:35:34.000",,,,"Other","2007-01-16T16:38:02.000","BALBOA ST/FUNSTON AVE","SF","94118","B07","31","7145","3","3","3","false",,"1","CHIEF","2","7","1","Inner Richmond","070160278-B04","POINT (-122.471504 37.776894)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","11"
"070170106","B07","07004936","Alarms","2007-01-17T00:00:00.000","2007-01-17T00:00:00.000","2007-01-17T09:47:52.000","2007-01-17T09:47:52.000","2007-01-17T09:48:05.000","2007-01-17T09:48:49.000",,,,"Fire","2007-01-17T09:57:32.000","39TH AVE/ORTEGA ST","SF","94116","B08","18","7623","3","3","3","false",,"1","CHIEF","3","8","4","Sunset/Parkside","070170106-B07","POINT (-122.49777 37.751427)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","35"
"070190104","RS1","07005508","Medical Incident","2007-01-19T00:00:00.000","2007-01-19T00:00:00.000","2007-01-19T08:34:26.000","2007-01-19T08:36:04.000","2007-01-19T08:36:23.000",,,,,"Other","2007-01-19T08:39:08.000","OFARRELL ST/JONES ST","SF","94102","B01","01","1452","3","3","3","false",,"1","RESCUE SQUAD","2","2","6","Tenderloin","070190104-RS1","POINT (-122.41297 37.78579)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070200168","E21","07005860","Medical Incident","2007-01-20T00:00:00.000","2007-01-20T00:00:00.000","2007-01-20T10:42:33.000","2007-01-20T10:44:08.000","2007-01-20T10:44:32.000",,,,,"Other","2007-01-20T10:49:32.000","LEONA TER/LYON ST","SF","94115","B05","10","4261","3","3","3","true",,"1","ENGINE","3","5","2","Presidio Heights","070200168-E21","POINT (-122.44453 37.78314)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","31"
"070200316","86","07005959","Medical Incident","2007-01-20T00:00:00.000","2007-01-20T00:00:00.000","2007-01-20T16:18:18.000","2007-01-20T16:18:18.000","2007-01-20T16:18:18.000",,,,,"Other",,"POLK ST/CEDAR ST","SF","94109","B05","05","3535","3","3","3","true",,"1","MEDIC","2","4","6","Tenderloin","070200316-86","POINT (-122.41983 37.786358)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070220162","83","07006478","Medical Incident","2007-01-22T00:00:00.000","2007-01-22T00:00:00.000","2007-01-22T10:45:51.000","2007-01-22T10:48:25.000","2007-01-22T10:56:10.000",,,,,"Other",,"SILVER AVE/CONGDON ST","SF","94134","B09","32","6143","1","1","2","true",,"1","MEDIC","2","9","11","Excelsior","070220162-83","POINT (-122.425964 37.72864)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","7"
"070230151","E36","07006777","Medical Incident","2007-01-23T00:00:00.000","2007-01-23T00:00:00.000","2007-01-23T10:35:54.000","2007-01-23T10:36:18.000","2007-01-23T10:43:05.000",,"2007-01-23T10:43:44.000",,,"Other",,"BAY ST/MIDWAY ST","SF","94133","B01","28","1341","2","2","2","true",,"1","ENGINE","1","1","3","North Beach","070230151-E36","POINT (-122.409485 37.806133)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"070230417","AP","07006945","Other","2007-01-23T00:00:00.000","2007-01-23T00:00:00.000","2007-01-23T21:10:50.000","2007-01-23T21:10:50.000","2007-01-23T21:10:50.000",,,,,"Fire","2007-01-23T21:11:18.000","CALL BOX: SF INTERNATIONAL AIRPORT","SFO",,"B09","44","6913","3","3","3","false",,"1","AIRPORT","1","None","None","None","070230417-AP","POINT (-122.344717912 37.704548808)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000",
"070230428","81","07006955","Medical Incident","2007-01-23T00:00:00.000","2007-01-23T00:00:00.000","2007-01-23T22:29:41.000","2007-01-23T22:31:30.000","2007-01-23T22:31:38.000",,,,,"Other",,"FALMOUTH ST/FOLSOM ST","SF","94107","B03","01","2244","3","3","3","true",,"1","MEDIC","3","3","6","South of Market","070230428-81","POINT (-122.404434 37.77944)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"070240362","E02","07007216","Medical Incident","2007-01-24T00:00:00.000","2007-01-24T00:00:00.000","2007-01-24T19:07:38.000","2007-01-24T19:09:38.000","2007-01-24T19:10:42.000",,,,,"Other","2007-01-24T19:31:22.000","FRANCISCO ST/MONTGOMERY ST","SF","94133","B01","28","0935","3","3","3","false",,"1","ENGINE","4","1","3","North Beach","070240362-E02","POINT (-122.40536 37.805695)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","23"
"070250281","E42","07007478","Medical Incident","2007-01-25T00:00:00.000","2007-01-25T00:00:00.000","2007-01-25T15:48:58.000","2007-01-25T15:50:23.000","2007-01-25T15:50:37.000",,,,,"Other","2007-01-25T15:53:42.000","TOMPKINS AVE/ELLSWORTH ST","SF","94110","B06","32","5726","3","3","3","true",,"1","ENGINE","3","6","9","Bernal Heights","070250281-E42","POINT (-122.41473 37.73714)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","2"
"070250355","76","07007533","Medical Incident","2007-01-25T00:00:00.000","2007-01-25T00:00:00.000","2007-01-25T19:30:19.000","2007-01-25T19:33:07.000","2007-01-25T19:33:49.000",,,,,"Other",,"SOUTH PARK/END","SF","94107","B03","08","2153","1","1","2","true",,"1","MEDIC","2","3","6","Financial District/South Beach","070250355-76","POINT (-122.39325 37.78214)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","8"
"070300140","91","07008806","Medical Incident","2007-01-30T00:00:00.000","2007-01-30T00:00:00.000","2007-01-30T09:54:36.000","2007-01-30T09:56:02.000","2007-01-30T09:56:38.000",,,,,"Other","2007-01-30T09:58:09.000","22ND ST/POTRERO AVE","SF","94110","B10","07","2553","3","3","3","true",,"1","MEDIC","3","10","9","Mission","070300140-91","POINT (-122.4067 37.756832)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070300198","88","07008839","Medical Incident","2007-01-30T00:00:00.000","2007-01-30T00:00:00.000","2007-01-30T12:06:39.000","2007-01-30T12:10:35.000","2007-01-30T12:11:08.000","2007-01-30T12:12:08.000",,,,"Other",,"22ND ST/POTRERO AVE","SF","94110","B10","07","2553","3","3","3","true",,"1","MEDIC","2","10","9","Mission","070300198-88","POINT (-122.4067 37.756832)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070300300","B04","07008905","Alarms","2007-01-30T00:00:00.000","2007-01-30T00:00:00.000","2007-01-30T15:34:16.000","2007-01-30T15:45:36.000","2007-01-30T15:46:11.000","2007-01-30T15:47:32.000",,,,"Fire","2007-01-30T15:59:15.000","JONES ST/CALIFORNIA ST","SF","94108","B01","41","1541","3","3","3","false",,"1","CHIEF","3","1","3","Nob Hill","070300300-B04","POINT (-122.41411 37.791416)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"070300393","E05","07008975","Alarms","2007-01-30T00:00:00.000","2007-01-30T00:00:00.000","2007-01-30T20:10:22.000","2007-01-30T20:11:23.000","2007-01-30T20:11:33.000","2007-01-30T20:12:12.000","2007-01-30T20:14:36.000",,,"Other","2007-01-30T20:20:47.000","FILLMORE ST/FELL ST","SF","94117","B05","05","3532","3","3","3","true",,"1","ENGINE","1","2","5","Hayes Valley","070300393-E05","POINT (-122.431015 37.774902)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","9"
"070310413","71","07009305","Medical Incident","2007-01-31T00:00:00.000","2007-01-31T00:00:00.000","2007-01-31T22:20:54.000","2007-01-31T22:21:49.000","2007-01-31T22:21:58.000","2007-01-31T22:22:42.000",,,,"Other","2007-01-31T22:22:48.000","CAPP ST/21ST ST","SF","94110","B06","07","5446","3","3","3","true",,"1","MEDIC","3","6","9","Mission","070310413-71","POINT (-122.41781 37.7571)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070320294","AP","07009511","Other","2007-02-01T00:00:00.000","2007-02-01T00:00:00.000","2007-02-01T17:37:16.000","2007-02-01T17:37:17.000","2007-02-01T17:37:17.000",,,,,"Fire","2007-02-01T17:37:33.000","CALL BOX: SF INTERNATIONAL AIRPORT","SFO",,"B09","44","6913","3","3","3","false",,"1","AIRPORT","1","None","None","None","070320294-AP","POINT (-122.344717912 37.704548808)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000",
"070320330","78","07009540","Medical Incident","2007-02-01T00:00:00.000","2007-02-01T00:00:00.000","2007-02-01T19:52:27.000","2007-02-01T19:52:51.000","2007-02-01T19:53:14.000",,,,,"Other","2007-02-01T19:53:58.000","SUTTER ST/HYDE ST","SF","94109","B04","03","1557","3","3","3","true",,"1","MEDIC","3","4","3","Nob Hill","070320330-78","POINT (-122.416824 37.788177)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","21"
"070330284","E07","07009781","Medical Incident","2007-02-02T00:00:00.000","2007-02-02T00:00:00.000","2007-02-02T16:09:56.000","2007-02-02T16:10:20.000","2007-02-02T16:10:34.000","2007-02-02T16:10:42.000","2007-02-02T16:13:05.000",,,"Other","2007-02-02T16:23:06.000","24TH ST/CAPP ST","SF","94110","B06","07","5511","3","3","3","true",,"1","ENGINE","1","6","9","Mission","070330284-E07","POINT (-122.41736 37.752304)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070340228","86","07010071","Medical Incident","2007-02-03T00:00:00.000","2007-02-03T00:00:00.000","2007-02-03T15:01:36.000","2007-02-03T15:08:53.000","2007-02-03T15:09:02.000","2007-02-03T15:09:35.000",,,,"Other","2007-02-03T15:11:15.000","CLAY ST/GRANT AVE","SF","94108","B01","13","1313","3","3","3","true",,"1","MEDIC","3","1","3","Chinatown","070340228-86","POINT (-122.4063 37.794262)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","6"
"070360168","T14","07010593","Other","2007-02-05T00:00:00.000","2007-02-05T00:00:00.000","2007-02-05T10:57:19.000","2007-02-05T10:58:09.000","2007-02-05T10:58:17.000","2007-02-05T11:00:48.000","2007-02-05T11:04:14.000",,,"Fire","2007-02-05T11:07:29.000","41ST AVE/BALBOA ST","SF","94121","B07","34","7263","3","3","3","false",,"1","TRUCK","1","7","1","Outer Richmond","070360168-T14","POINT (-122.501595 37.77552)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"070380323","M11","07011283","Medical Incident","2007-02-07T00:00:00.000","2007-02-07T00:00:00.000","2007-02-07T17:36:56.000","2007-02-07T17:39:54.000","2007-02-07T17:41:36.000","2007-02-07T17:42:42.000",,,,"Other",,"16TH ST/MISSION ST","SF","94103","B02","07","5236","2","2","2","true",,"1","MEDIC","2","2","9","Mission","070380323-M11","POINT (-122.41967 37.765053)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070390315","RS1","07011581","Medical Incident","2007-02-08T00:00:00.000","2007-02-08T00:00:00.000","2007-02-08T18:15:09.000","2007-02-08T18:16:06.000","2007-02-08T18:16:25.000",,,,,"Other",,"EDDY ST/MASON ST","SF","94102","B03","01","1453","3","3","3","false",,"1","RESCUE SQUAD","3","3","6","Tenderloin","070390315-RS1","POINT (-122.40931 37.784348)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070390373","87","07011629","Medical Incident","2007-02-08T00:00:00.000","2007-02-08T00:00:00.000","2007-02-08T22:24:40.000","2007-02-08T22:26:56.000","2007-02-08T22:27:03.000",,,,,"Other",,"EDDY ST/MASON ST","SF","94102","B03","01","1365","2","2","2","true",,"1","MEDIC","2","3","6","Tenderloin","070390373-87","POINT (-122.40931 37.784348)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070400110","E03","07011734","Medical Incident","2007-02-09T00:00:00.000","2007-02-09T00:00:00.000","2007-02-09T08:19:32.000","2007-02-09T08:21:10.000","2007-02-09T08:21:59.000",,,,,"Other",,"OFARRELL ST/JONES ST","SF","94102","B04","03","1544","3","3","3","false",,"1","ENGINE","2","2","6","Tenderloin","070400110-E03","POINT (-122.41297 37.78579)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","36"
"070450011","E07","07013096","Medical Incident","2007-02-14T00:00:00.000","2007-02-13T00:00:00.000","2007-02-14T01:08:00.000","2007-02-14T01:10:28.000","2007-02-14T01:10:35.000",,,,,"Other","2007-02-14T01:12:33.000","24TH ST/CYPRESS ST","SF","94110","B06","11","5525","3","3","3","true",,"1","ENGINE","3","6","9","Mission","070450011-E07","POINT (-122.416824 37.75234)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","20"
"070450032","E14","07013113","Alarms","2007-02-14T00:00:00.000","2007-02-13T00:00:00.000","2007-02-14T02:39:18.000","2007-02-14T02:40:12.000","2007-02-14T02:40:44.000",,"2007-02-14T02:43:44.000",,,"Other","2007-02-14T02:52:45.000","GEARY BLVD/25TH AVE","SF","94121","B07","14","7213","3","3","3","false",,"1","ENGINE","1","7","1","Outer Richmond","070450032-E14","POINT (-122.48473 37.780094)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","29"
"070450080","T05","07013144","Alarms","2007-02-14T00:00:00.000","2007-02-13T00:00:00.000","2007-02-14T07:48:56.000","2007-02-14T07:50:10.000","2007-02-14T07:50:25.000",,,,"2007-02-14T07:52:04.000","Other","2007-02-14T07:57:26.000","SCOTT ST/GOLDEN GATE AVE","SF","94115","B05","05","4134","3","3","3","false",,"1","TRUCK","3","5","5","Western Addition","070450080-T05","POINT (-122.43688 37.77894)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","39"
"070450277","T14","07013266","Alarms","2007-02-14T00:00:00.000","2007-02-14T00:00:00.000","2007-02-14T16:22:11.000","2007-02-14T16:23:05.000","2007-02-14T16:23:13.000","2007-02-14T16:24:26.000",,,,"Other","2007-02-14T16:26:54.000","12TH AVE/CABRILLO ST","SF","94118","B07","31","7143","3","3","3","false",,"1","TRUCK","3","7","1","Inner Richmond","070450277-T14","POINT (-122.4703 37.775078)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","11"
"070450328","85","07013312","Medical Incident","2007-02-14T00:00:00.000","2007-02-14T00:00:00.000","2007-02-14T19:05:28.000","2007-02-14T19:06:51.000","2007-02-14T19:07:15.000",,,,,"Other",,"WELSH ST/05TH ST","SF","94107","B03","08","2242","3","3","3","true",,"1","MEDIC","3","3","6","South of Market","070450328-85","POINT (-122.399765 37.77737)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","34"
"070470170","82","07013783","Medical Incident","2007-02-16T00:00:00.000","2007-02-16T00:00:00.000","2007-02-16T10:39:03.000","2007-02-16T10:40:27.000","2007-02-16T10:40:44.000","2007-02-16T10:40:57.000",,,,"Other",,"GEARY BLVD/DIVISADERO ST","SF","94115","B05","10","4154","3","3","3","true",,"1","MEDIC","3","5","5","Japantown","070470170-82","POINT (-122.43948 37.78331)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","15"
"070470330","T10","07013898","Alarms","2007-02-16T00:00:00.000","2007-02-16T00:00:00.000","2007-02-16T17:13:02.000","2007-02-16T17:18:35.000","2007-02-16T17:18:40.000","2007-02-16T17:19:50.000",,,,"Other","2007-02-16T17:21:36.000","WASHINGTON ST/CHERRY ST","SF","94118","B07","10","4442","3","3","3","false",,"1","TRUCK","3","7","2","Presidio Heights","070470330-T10","POINT (-122.45724 37.78868)","2024-02-05T03:27:52.000","2024-02-05T10:56:25.000","31"
